Location_0,Location_1,Location_2,Location_3,Location_4,Location_5,Location_6,Location_7,Location_8,Location_9,Location_10,Location_11,Location_12,Location_13,Location_14,Location_15,Location_16,Location_17,Location_18,Location_19
18.745401188473625,24.50714306409916,22.31993941811405,20.986584841970366,16.560186404424364,16.559945203362027,15.580836121681994,23.66176145774935,21.011150117432088,22.080725777960453,15.205844942958024,24.699098521619945,23.324426408004218,17.123391106782762,16.818249672071005,16.83404509853434,18.042422429595376,20.24756431632238,19.319450186421157,17.91229140198042
21.118528947223794,16.39493860652042,17.92144648535218,18.663618432936918,19.560699842170358,22.851759613930135,16.996737821583597,20.142344384136116,20.924145688620424,15.464504127199977,21.075448519014383,16.705241236872915,15.650515929852794,24.488855372533333,24.656320330745594,23.083973481164612,18.046137691733705,15.97672114006384,21.842330265121568,19.40152493739601
16.22038234844779,19.951769101112703,15.343885211152184,24.093204020787823,17.58779981600017,21.62522284353982,18.11711076089411,20.200680211778106,20.467102793432797,16.84854455525527,24.695846277645586,22.751328233611147,24.39498941564189,23.948273504276486,20.97899978811085,24.218742350231167,15.884925020519194,16.959828624191452,15.45227288910538,18.253303307632642
18.88677289689482,17.71349031773896,23.287375091519294,18.567533266935893,17.80934509687381,20.426960831582484,16.409242249747628,23.021969807540398,15.745506436797708,24.86886936600517,22.722447692966576,16.987156815341724,15.055221171236024,23.15461428454834,22.06857343847617,22.290071680409874,22.71270346685946,15.740446517340903,18.584657285442727,16.158690595251297
23.631034258755935,21.23298126827558,18.308980248526492,15.635583502860236,18.109823217156624,18.25183322026747,22.29606178338064,21.375574713552133,23.872127425763267,19.72214925161949,16.195942459383016,22.13244787222995,22.607850486168974,20.61277197569496,22.70967179954561,19.93795596364391,20.22732829381994,19.275410183585496,15.254191267440952,16.078914269933044
15.314291856867342,21.364104112637804,18.143559810763268,20.08570691164703,24.07566473926093,17.49292229148875,19.103829230356297,22.555511385430485,17.287981654916223,15.76979909828793,17.89751452913768,16.612212872540045,24.29697652342573,23.08120379564417,21.334037565104236,23.714605901877178,23.036720768991145,16.86570058886036,23.92558998489978,20.393422419156508
23.074401551640626,23.96091299923493,18.18003474971864,16.100519245276768,17.279351625419416,19.271077886262564,23.18014765922493,23.607305832563434,15.069521305311907,20.107473025775658,19.17411003148779,17.221078104707303,16.19865367333683,18.37615171403628,24.429097039125192,18.232029320207552,20.18790621743366,22.030189588951778,18.63629602379294,24.717820827209607
24.62447294942111,17.517822958253642,19.972485058923855,18.008783098167697,17.848404943774675,15.368869473545328,21.09564333979897,20.026790232288615,15.514787512499893,17.786464642366113,24.082658859666537,17.395618906669725,16.44894872091223,19.894527602775632,24.856504541106005,17.420552715115004,21.721355474058786,22.616196153287177,17.376375439923997,22.282163486118595
18.677831327192532,21.323058305935795,21.335297107608948,20.357746840747584,15.902897700544083,23.35302495589238,18.20780064971736,16.86518510399854,15.40775141554764,20.90892943188242,21.775643618422826,15.165878289278561,20.12093058299281,17.26495775197938,21.451727904094497,16.743664290049914,21.90937738102466,18.867353463005372,24.367299887367345,16.375209441459933
18.410663510502584,16.13473521240589,24.24693618278563,23.77339353380981,17.579416277151555,21.599840460341788,23.17222200201216,20.552008115994624,20.296505783560065,17.418522909004515,15.931027678058992,23.972157579533267,24.004180571633306,21.33101457273268,18.390297910487007,18.49209574612661,22.259556788702394,23.97110259952577,23.870864242651173,22.798755458576238
