Timestamp,Location_ID,Gas_Price,Customer_Count,Inventory_Level,Day_of_Week,Is_Holiday,Temperature
2023-05-01 00:00:00,Loc_1,2.91,58,561,Monday,0,23
2023-05-01 00:00:00,Loc_2,3.69,27,631,Monday,0,26
2023-05-01 00:00:00,Loc_3,4.29,68,268,Monday,0,26
2023-05-01 00:00:00,Loc_4,4.09,19,487,Monday,0,16
2023-05-01 00:00:00,Loc_5,3.75,25,230,Monday,0,18
2023-05-01 00:00:00,Loc_6,3.23,66,874,Monday,0,25
2023-05-01 00:00:00,Loc_7,2.98,99,523,Monday,0,27
2023-05-01 00:00:00,Loc_8,3.7,72,414,Monday,0,18
2023-05-01 00:00:00,Loc_9,4.22,21,925,Monday,0,22
2023-05-01 00:00:00,Loc_10,3.33,52,430,Monday,0,29
2023-05-01 00:00:00,Loc_11,4.26,53,542,Monday,0,15
2023-05-01 00:00:00,Loc_12,2.91,97,723,Monday,0,22
2023-05-01 00:00:00,Loc_13,4.13,94,888,Monday,0,28
2023-05-01 00:00:00,Loc_14,3.41,80,256,Monday,0,18
2023-05-01 00:00:00,Loc_15,3.8,15,584,Monday,0,23
2023-05-01 00:00:00,Loc_16,4.02,33,437,Monday,0,21
2023-05-01 00:00:00,Loc_17,2.73,59,788,Monday,0,30
2023-05-01 00:00:00,Loc_18,4.31,88,264,Monday,0,27
2023-05-01 00:00:00,Loc_19,3.15,86,446,Monday,0,26
2023-05-01 00:00:00,Loc_20,3.48,87,852,Monday,0,21
2023-05-01 01:00:00,Loc_1,2.64,20,548,Monday,0,15
2023-05-01 01:00:00,Loc_2,3.99,83,210,Monday,0,23
2023-05-01 01:00:00,Loc_3,3.33,32,436,Monday,0,28
2023-05-01 01:00:00,Loc_4,3.3,98,346,Monday,0,20
2023-05-01 01:00:00,Loc_5,2.93,96,210,Monday,0,24
2023-05-01 01:00:00,Loc_6,3.28,70,400,Monday,0,16
2023-05-01 01:00:00,Loc_7,2.59,49,622,Monday,0,28
2023-05-01 01:00:00,Loc_8,4.33,86,908,Monday,0,25
2023-05-01 01:00:00,Loc_9,4.3,49,836,Monday,0,30
2023-05-01 01:00:00,Loc_10,3.97,45,545,Monday,0,25
2023-05-01 01:00:00,Loc_11,4.24,84,424,Monday,0,17
2023-05-01 01:00:00,Loc_12,4.28,13,596,Monday,0,17
2023-05-01 01:00:00,Loc_13,3.8,10,830,Monday,0,30
2023-05-01 01:00:00,Loc_14,3.98,43,256,Monday,0,20
2023-05-01 01:00:00,Loc_15,4.29,6,958,Monday,0,23
2023-05-01 01:00:00,Loc_16,3.64,19,760,Monday,0,25
2023-05-01 01:00:00,Loc_17,2.54,17,256,Monday,0,20
2023-05-01 01:00:00,Loc_18,3.05,58,550,Monday,0,29
2023-05-01 01:00:00,Loc_19,4.28,64,510,Monday,0,16
2023-05-01 01:00:00,Loc_20,2.51,12,353,Monday,0,28
2023-05-01 02:00:00,Loc_1,3.67,42,928,Monday,0,25
2023-05-01 02:00:00,Loc_2,3.38,9,333,Monday,0,30
2023-05-01 02:00:00,Loc_3,4.12,54,704,Monday,0,20
2023-05-01 02:00:00,Loc_4,2.75,89,288,Monday,0,25
2023-05-01 02:00:00,Loc_5,3.32,58,448,Monday,0,25
2023-05-01 02:00:00,Loc_6,3.58,34,220,Monday,0,21
2023-05-01 02:00:00,Loc_7,2.64,36,247,Monday,0,19
2023-05-01 02:00:00,Loc_8,2.98,62,373,Monday,0,19
2023-05-01 02:00:00,Loc_9,4.39,10,283,Monday,0,30
2023-05-01 02:00:00,Loc_10,4.13,67,864,Monday,0,25
2023-05-01 02:00:00,Loc_11,3.55,76,980,Monday,0,25
2023-05-01 02:00:00,Loc_12,2.95,51,659,Monday,0,19
2023-05-01 02:00:00,Loc_13,4.39,8,421,Monday,0,20
2023-05-01 02:00:00,Loc_14,3.49,41,255,Monday,0,30
2023-05-01 02:00:00,Loc_15,3.95,32,588,Monday,0,25
2023-05-01 02:00:00,Loc_16,3.36,11,766,Monday,0,30
2023-05-01 02:00:00,Loc_17,2.69,45,495,Monday,0,27
2023-05-01 02:00:00,Loc_18,3.19,33,721,Monday,0,16
2023-05-01 02:00:00,Loc_19,3.17,79,842,Monday,0,30
2023-05-01 02:00:00,Loc_20,4.15,59,570,Monday,0,17
2023-05-01 03:00:00,Loc_1,2.9,38,920,Monday,0,28
2023-05-01 03:00:00,Loc_2,4.5,72,583,Monday,0,17
2023-05-01 03:00:00,Loc_3,3.23,15,354,Monday,0,30
2023-05-01 03:00:00,Loc_4,2.98,71,293,Monday,0,22
2023-05-01 03:00:00,Loc_5,2.77,71,945,Monday,0,20
2023-05-01 03:00:00,Loc_6,2.96,9,623,Monday,0,29
2023-05-01 03:00:00,Loc_7,3.34,63,566,Monday,0,29
2023-05-01 03:00:00,Loc_8,3.26,75,742,Monday,0,24
